route_category_id,cargo_category_id,measurement_unit_id,cargo_item_description,cargo_item_freight,cargo_item_measure_required,cargo_item_min_length,cargo_item_max_length,cargo_item_min_width,cargo_item_max_width,cargo_item_min_height,cargo_item_max_height,cargo_item_base_cbm
1,8,,Minimum Charge,410,No,,,,,,,0
1,8,,Maximum Charge (for high value items),671.72,No,,,,,,,0
1,8,,Minimum Charge per carton,32,No,,,,,,,0
1,8,,Class A,927.13,No,,,,,,,0
1,8,,Class B,741.71,No,,,,,,,0
1,8,,Class C,602.66,No,,,,,,,0
1,13,1,Air Compressor 1/4 HP,602.66,Yes,45,60,20,30,45,65,
1,3,3,Aircon,472.07,Yes,18,26,15,24,12,18,
1,3,3,Aircon (split type 2 crtn) 2-15-16,624.22,Yes,30,45,8,12,10,15,
1,8,1,Baking powder (in pail),32,Yes,25,35,25,35,30,45,
1,4,3,"Balluster 24"" (4 pcs per bundle)",32,Yes,10,12,10,12,24,25,
1,8,1,Behon (per bundle) 6/1,103,Yes,45,60,30,40,30,40,
1,1,1,Bermuda grass (sacks),39.01,Yes,40,50,40,50,50,70,
1,8,1,Bicycle,151.06,Yes,120,175,20,30,60,110,
1,15,1,Bombay/onions/garlic - 3 red bags,28.32,Yes,30,45,30,45,50,75,
1,15,1,Bombay/onions/garlic - 4 red bags,47.2,Yes,40,55,40,55,60,85,
1,15,1,Bombay/onions/garlic - 5 red bags / 1 sack veg,75.58,Yes,50,65,50,65,70,95,
1,13,,Bread mini roller 0.85cbm,802.53,No,,,,,,,0.85
1,13,1,Briggs & Straton 6.5HP - 10HP,188.83,Yes,35,45,30,40,35,45,
1,11,2,Cadaver (No doc. stamp),1057.44,Yes,6.5,7.5,2.2,2.8,1.8,2.5,
1,8,1,Calumet in carton - 20kls,32,Yes,30,45,30,45,25,35,
1,8,,Candies (carton 0.3cbm),32,No,,,,,,,0.3
1,8,,Candles (0.14cbm),94.42,No,,,,,,,0.14
1,4,1,Cement 40kls sacks,29.33,Yes,55,65,35,45,10,15,
1,13,3,Chainsaw,185.07,Yes,28,38,10,12,10,14,
1,10,,Chlorine (in drum) 35 kls above 0.9cbm,83.46,No,,,,,,,0.9
1,8,3,Coal tar (pails/tins),32,Yes,12,14,12,14,14,16,
1,8,1,Cocoa (in ctn),32,Yes,30,45,20,35,20,35,
1,4,3,Color roof #26 or #31: 4'x10',18.89,Yes,48,50,1,2,96,98,
1,4,3,Color roof #26 or #31: 4'x12',22.66,Yes,48,50,1,2,120,122,
1,4,3,Color roof #26 or #31: 4'x8',15.1,Yes,48,50,1,2,144,146,
1,4,3,Computer set,343.66,Yes,18,24,8,20,18,24,
1,1,1,Corn Grains 40 kls sacks,20.65,Yes,60,75,40,50,15,20,
1,8,1,Corn starch 45 kls sacks,20.65,Yes,60,75,40,50,15,20,
1,4,3,Corrugated plain sheet #24: 3' x 10'/4' x 8',15.65,Yes,36,48,48,120,1,2,
1,4,3,Corrugated plain sheet #24: 3' x 12'/4' x 10',18.73,Yes,36,48,48,144,1,2,
1,4,3,Corrugated plain sheet #24: 3' x 8'/4' x 12',23.22,Yes,36,48,48,144,1,2,
1,4,3,Corrugated plain sheet #26 or #31: 3' x 10'/4' x 10',9.44,Yes,36,48,48,120,1,2,
1,4,3,Corrugated plain sheet #26 or #31: 3' x 12'/4' x 12',11.33,Yes,36,48,48,144,1,2,
1,4,3,Corrugated plain sheet #26 or #31: 3' x 8'/4' x 8',8.62,Yes,36,48,48,144,1,2,
1,3,3,CPU/LCD,68.66,Yes,15,20,6,9,14,19,
1,4,3,Cyclone wire (per rolls) below 10 kilos,20.6,Yes,12,18,12,18,36,48,
1,13,1,Cylinder head 6D15 - 45kls,60.45,Yes,80,90,25,30,15,20,
1,8,1,Cylinder tank empty - 11kls,47.22,Yes,30,32,30,32,58,62,
1,8,1,Cylinder tank empty - 50kls,81.22,Yes,40,45,40,45,120,145,
1,10,3,Cylinder tank fulls - 11kls,66.09,Yes,12,13,12,13,23,25,
1,10,3,Cylinder tank fulls - 50 kls,100.08,Yes,16,18,16,18,48,58,
1,3,1,Desk fan,47.21,Yes,35,45,30,35,50,65,
1,2,1,Dog rottweiler,686.64,Yes,60,95,25,33,55,75,
1,2,1,Dressed chicken,85.02,Yes,15,25,10,20,10,20,
1,15,1,Dried fish (in sacks up to 60kls),93.63,Yes,45,55,45,55,80,95,
1,15,3,Dried fish (per carton 30-40 kls),68.66,Yes,24,28,16,18,14,16,
1,15,3,Dried fish (per cases 17kls),29.18,Yes,18,22,12,14,10,12,
