terminal_name,port_name,city,province
North Harbor,Manila Port,Manila,Metro Manila
Batangas Port Terminal,Batangas Port,Batangas City,Batangas
Subic Bay Port,Subic Port,Olongapo City,Zambales
Pier 1,Cebu Port,Cebu City,Cebu
Pier 2,Cebu Port,Cebu City,Cebu
Pier 3,Cebu Port,Cebu City,Cebu
Pier 4,Cebu Port,Cebu City,Cebu
Pier 5,Cebu Port,Cebu City,Cebu
Pier 6,Cebu Port,Cebu City,Cebu
Cebu International Port,Cebu Port,Cebu City,Cebu
Mactan Ferry Terminal,Cebu Port,Lapu-Lapu City,Cebu
Mactan International Port,Cebu Port,Lapu-Lapu City,Cebu
Danao Port Terminal,Danao Port,Danao City,Cebu
Toledo Port Terminal,Toledo Port,Toledo City,Cebu
Mandaue Port Terminal,Cebu Port,Mandaue City,Cebu
Lapu-Lapu Mactan Port,Cebu Port,Lapu-Lapu City,Cebu
Ormoc Port Terminal,Ormoc Port,Ormoc City,Leyte
Baybay Port,Baybay Port,Baybay,Leyte
Maasin Port Terminal,Maasin Port,Maasin City,Southern Leyte
Tacloban Port Terminal,Tacloban Port,Tacloban City,Leyte
Palompon Port,Palompon Port,Palompon,Leyte
Hilongos Port Terminal,Hilongos Port,Hilongos,Leyte
Naval Port,Naval Port,Naval,Biliran
Bato Port,Bato Port,Bato,Southern Leyte
Tagbilaran Port Terminal,Tagbilaran Port,Tagbilaran City,Bohol
Talibon Port,Port of Talibon,Talibon,Bohol
Tubigon Port Terminal,Tubigon Port,Tubigon,Bohol
Jagna Port Terminal,Jagna Port,Jagna,Bohol
Ubay Port,Ubay Port,Ubay,Bohol
Getafe Port,Getafe Port,Getafe,Bohol
Dumaguete Port Terminal,Dumaguete Port,Dumaguete City,Negros Oriental
Iloilo Pier,Iloilo Port,Iloilo City,Iloilo
Bacolod Port Terminal,Bacolod Port,Bacolod City,Negros Occidental
Davao Port Terminal,Davao Port,Davao City,Davao del Sur
General Santos Port,GenSan Port,General Santos,South Cotabato
Cagayan de Oro Port,Cagayan de Oro Port,Cagayan de Oro,Misamis Oriental
Zamboanga Port Terminal,Zamboanga Port,Zamboanga City,Zamboanga del Sur
Puerto Princesa Port,Puerto Princesa Port,Puerto Princesa,Palawan
Legazpi Port Terminal,Legazpi Port,Legazpi City,Albay
Lucena Port,Lucena Port,Lucena City,Quezon
